,,$\mathcal{B}$,$\mathcal{M}$
$\phi_1$ - StopToAvoidCollision,0,150,29
$\phi_1$ - StopToAvoidCollision,1,123,46
$\phi_1$ - StopToAvoidCollision,2,37,54
$\phi_1$ - StopToAvoidCollision,3,96,36
$\phi_1$ - StopToAvoidCollision,4,126,239
$\phi_1$ - StopToAvoidCollision,5,28,24
$\phi_1$ - StopToAvoidCollision,total,560,428
$\phi_2$ - StopForYellowRed,0,994,196
$\phi_2$ - StopForYellowRed,1,608,72
$\phi_2$ - StopForYellowRed,2,631,43
$\phi_2$ - StopForYellowRed,3,659,83
$\phi_2$ - StopForYellowRed,4,388,248
$\phi_2$ - StopForYellowRed,5,757,272
$\phi_2$ - StopForYellowRed,total,4037,914
$\phi_3$ - NoStopForNoReason,0,27,61
$\phi_3$ - NoStopForNoReason,1,92,147
$\phi_3$ - NoStopForNoReason,2,83,77
$\phi_3$ - NoStopForNoReason,3,154,116
$\phi_3$ - NoStopForNoReason,4,404,372
$\phi_3$ - NoStopForNoReason,5,1576,1464
$\phi_3$ - NoStopForNoReason,total,2336,2237
$\phi_4$ - AccelerateForGreen,0,59,81
$\phi_4$ - AccelerateForGreen,1,77,59
$\phi_4$ - AccelerateForGreen,2,26,13
$\phi_4$ - AccelerateForGreen,3,227,149
$\phi_4$ - AccelerateForGreen,4,40,14
$\phi_4$ - AccelerateForGreen,5,164,219
$\phi_4$ - AccelerateForGreen,total,593,535
$\phi_5$ - NoSteerRightOutRoad,0,1506,0
$\phi_5$ - NoSteerRightOutRoad,1,1037,0
$\phi_5$ - NoSteerRightOutRoad,2,625,0
$\phi_5$ - NoSteerRightOutRoad,3,2371,0
$\phi_5$ - NoSteerRightOutRoad,4,234,0
$\phi_5$ - NoSteerRightOutRoad,5,0,0
$\phi_5$ - NoSteerRightOutRoad,total,5773,0
$\phi_6$ - NoSteerLeftOutRoad,0,0,0
$\phi_6$ - NoSteerLeftOutRoad,1,0,0
$\phi_6$ - NoSteerLeftOutRoad,2,0,0
$\phi_6$ - NoSteerLeftOutRoad,3,0,0
$\phi_6$ - NoSteerLeftOutRoad,4,0,0
$\phi_6$ - NoSteerLeftOutRoad,5,0,0
$\phi_6$ - NoSteerLeftOutRoad,total,0,0
